address,status,x,y,address_id,full_address
彰化縣伸港鄉伸港鄉大同村11鄰大同一街111號,ok,198426.530,2671902.970,BLX5226-2,彰化縣伸港鄉大同村011鄰大同一街１１１號
彰化縣伸港鄉全興村東全路11號,ok,198256.440,2674645.220,BLX2192-8,彰化縣伸港鄉全興村009鄰東全路１１號
彰化縣伸港鄉和平路60號,ok,197644.720,2671621.260,BLY0095-5,彰化縣伸港鄉新港村019鄰和平路６０號
彰化縣伸港鄉嘉二路47號,ok,198639.180,2671539.280,BLW9333-6,彰化縣伸港鄉七嘉村005鄰嘉二路４７號
彰化縣伸港鄉埤墘村埤墘一路154號,ok,198472.130,2670948.800,BLX3323-5,彰化縣伸港鄉埤墘村013鄰埤墘一路１５４號
彰化縣伸港鄉埤墘村建興路168號,ok,198370.590,2671145.380,BLX3291-3,彰化縣伸港鄉埤墘村012鄰建興路１６８號
彰化縣伸港鄉大同村大同路82號,ok,198173.260,2672803.520,BLX5151-0,彰化縣伸港鄉大同村009鄰大同路８２號
彰化縣伸港鄉大同村彰新路七段722號,ok,198432.680,2672839.340,BLX5079-0,彰化縣伸港鄉大同村007鄰彰新路七段７２２號
彰化縣伸港鄉大同村彰新路七段724號,ok,198369.610,2672834.300,BLX5080-2,彰化縣伸港鄉大同村007鄰彰新路七段７２４號
彰化縣伸港鄉大同路82號,ok,198173.260,2672803.520,BLX5151-0,彰化縣伸港鄉大同村009鄰大同路８２號
彰化縣伸港鄉定興村定興路63-2號,ok,199100.340,2672490.240,BLX6552-8,彰化縣伸港鄉定興村006鄰定興路６３之２號
彰化縣伸港鄉定興村定興路63號,ok,199274.570,2517826.420,BXR5191-3,屏東縣九如鄉洽興村007鄰洽興路６３號
彰化縣伸港鄉定興路63-2號,ok,199100.340,2672490.240,BLX6552-8,彰化縣伸港鄉定興村006鄰定興路６３之２號
彰化縣伸港鄉建興路168號,ok,198370.590,2671145.380,BLX3291-3,彰化縣伸港鄉埤墘村012鄰建興路１６８號
彰化縣伸港鄉彰新路7段724號,ok,198369.610,2672834.300,BLX5080-2,彰化縣伸港鄉大同村007鄰彰新路七段７２４號
